Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 25-Nov-2024),Crossref citations (as of 25-Nov-2024)
Artificial Intelligence and Music Discovery,"Stephanie Bonjack, Nicole Trujillo",Music Reference Services Quarterly,27,1,p1 - p9,2024,10.1080/10588167.2023.2287924,05-Dec-2023,https://doi.org/10.1080/10588167.2023.2287924,0.0,0.0
The effect of gamified project-based learning with AIGC in information literacy education,"Wendan Huang, Yixin Tong, Taoli Wang",Innovations in Education and Teaching International,,,p1 - p15,5187,10.1080/14703297.2024.2423012,01-Nov-2024,https://doi.org/10.1080/14703297.2024.2423012,0.0,0.0
An Overview of Deep Generative Models,"Hui Li, Jungang Xu, Shilong Zhou",IETE Technical Review,32,2,p131 - p139,2015,10.1080/02564602.2014.987328,20-Dec-2014,https://doi.org/10.1080/02564602.2014.987328,134.0,39.0
Conversational Voice Assistants and a Case Study of Long-Term Users: A Human Information Behaviours Perspective,"Baki Kocaballi, Indra Mckie, Bhuva Narayan",Journal of the Australian Library and Information Association,71,3,p233 - p255,2022,10.1080/24750158.2022.2104738,10-Aug-2022,https://doi.org/10.1080/24750158.2022.2104738,0.0,7.0
Empowering geoportals HCI with task-oriented chatbots through NLP and deep transfer learning,Mohammad H Vahidnia,Big Earth Data,,,p1 - p41,5187,10.1080/20964471.2024.2403166,19-Sep-2024,https://doi.org/10.1080/20964471.2024.2403166,357.0,0.0
GANNET: A Machine Learning Approach to Document Retrieval,"Hsinchun Chen, Jinwoo Kim",Journal of Management Information Systems,11,3,p7 - p41,1994,10.1080/07421222.1994.11518048,14-Dec-2015,https://doi.org/10.1080/07421222.1994.11518048,6.0,13.0
Proximity Measures for the Classification of Geometric Figures,E T Leet,Journal of Cybernetics,2,4,p43 - p59,1972,10.1080/01969727208545857,30-Apr-2008,https://doi.org/10.1080/01969727208545857,23.0,36.0
FUZZY MEASURES AND FUZZY INTEGRALS: AN OVERVIEW,"JOHN R SIMS, WANG ZHENYUAN",International Journal of General Systems,17,2-3,p157 - p189,1990,10.1080/03081079008935106,06-Apr-2007,https://doi.org/10.1080/03081079008935106,122.0,19.0
Living in the Electronic Age: Musings on Nearly Two Decades in Cyberspace,Jonathan R Gavrin,Journal of Pain & Palliative Care Pharmacotherapy,23,2,p141 - p144,2009,10.1080/15360280902900703,13-Aug-2009,https://doi.org/10.1080/15360280902900703,21.0,0.0
Views of Academic Library Directors on Artificial Intelligence: A Representative Survey in Hungary,"Péter Kiszl, Bea Winkler",New Review of Academic Librarianship,28,3,p256 - p278,2022,10.1080/13614533.2021.1930076,10-Jun-2021,https://doi.org/10.1080/13614533.2021.1930076,0.0,16.0
Decision trees and neural networks for reasoning and knowledge acquisition for autonomous agents,EDWARD SZCZERBICKI,International Journal of Systems Science,27,2,p233 - p239,1996,10.1080/00207729608929209,16-May-2007,https://doi.org/10.1080/00207729608929209,15.0,6.0
