"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The NLP Cookbook: Modern Recipes for Transformer Based Deep Learning Architectures","S. Singh; A. Mahmood","Department of Computer Science and Engineering, University of Bridgeport, Bridgeport, CT, USA; Department of Computer Science and Engineering, University of Bridgeport, Bridgeport, CT, USA",IEEE Access,"13 May 2021","2021","9","","68675","68702","In recent years, Natural Language Processing (NLP) models have achieved phenomenal success in linguistic and semantic tasks like text classification, machine translation, cognitive dialogue systems, information retrieval via Natural Language Understanding (NLU), and Natural Language Generation (NLG). This feat is primarily attributed due to the seminal Transformer architecture, leading to designs such as BERT, GPT (I, II, III), etc. Although these large-size models have achieved unprecedented performances, they come at high computational costs. Consequently, some of the recent NLP architectures have utilized concepts of transfer learning, pruning, quantization, and knowledge distillation to achieve moderate model sizes while keeping nearly similar performances as achieved by their predecessors. Additionally, to mitigate the data size challenge raised by language models from a knowledge extraction perspective, Knowledge Retrievers have been built to extricate explicit data documents from a large corpus of databases with greater efficiency and accuracy. Recent research has also focused on superior inference by providing efficient attention to longer input sequences. In this paper, we summarize and examine the current state-of-the-art (SOTA) NLP models that have been employed for numerous NLP tasks for optimal performance and efficiency. We provide a detailed understanding and functioning of the different architectures, a taxonomy of NLP designs, comparative evaluations, and future directions in NLP.","2169-3536","","10.1109/ACCESS.2021.3077350","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9422763","Deep learning;natural language processing (NLP);natural language understanding (NLU);natural language generation (NLG);information retrieval (IR);knowledge distillation (KD);pruning;quantization","Biological system modeling;Task analysis;Computer architecture;Computational modeling;Natural language processing;Recurrent neural networks;Quantization (signal)","","58","","98","CCBYNCND","4 May 2021","","","IEEE","IEEE Journals"
"On the Effectiveness of Pre-Trained Language Models for Legal Natural Language Processing: An Empirical Study","D. Song; S. Gao; B. He; F. Schilder","Thomson Reuters, Eagan, MN, USA; Thomson Reuters, New York, NY, USA; Meta Platforms Inc., Menlo Park, CA, USA; Thomson Reuters, Eagan, MN, USA",IEEE Access,"25 Jul 2022","2022","10","","75835","75858","We present the first comprehensive empirical evaluation of pre-trained language models (PLMs) for legal natural language processing (NLP) in order to examine their effectiveness in this domain. Our study covers eight representative and challenging legal datasets, ranging from 900 to 57K samples, across five NLP tasks: binary classification, multi-label classification, multiple choice question answering, summarization and information retrieval. We first run unsupervised, classical machine learning and/or non-PLM based deep learning methods on these datasets, and show that baseline systems’ performance can be 4%~35% lower than that of PLM-based methods. Next, we compare general-domain PLMs and those specifically pre-trained for the legal domain, and find that domain-specific PLMs demonstrate 1%~5% higher performance than general-domain models, but only when the datasets are extremely close to the pre-training corpora. Finally, we evaluate six general-domain state-of-the-art systems, and show that they have limited generalizability to legal data, with performance gains from 0.1% to 1.2% over other PLM-based methods. Our experiments suggest that both general-domain and domain-specific PLM-based methods generally achieve better results than simpler methods on most tasks, with the exception of the retrieval task, where the best-performing baseline outperformed all PLM-based methods by at least 5%. Our findings can help legal NLP practitioners choose the appropriate methods for different tasks, and also shed light on potential future directions for legal NLP research.","2169-3536","","10.1109/ACCESS.2022.3190408","Thomson Reuters; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9826728","Legal natural language processing;pre-trained language model;deep learning;machine learning","Law;Task analysis;Feature extraction;Deep learning;Bit error rate;Support vector machines;Convolutional neural networks","","7","","129","CCBY","12 Jul 2022","","","IEEE","IEEE Journals"
"A Conceptual Model Framework for XAI Requirement Elicitation of Application Domain System","M. Aslam; D. Segura-Velandia; Y. M. Goh","Wolfson School of Mechanical, Electrical and Manufacturing Engineering, Loughborough University, Loughborough, U.K.; Wolfson School of Mechanical, Electrical and Manufacturing Engineering, Loughborough University, Loughborough, U.K.; Wolfson School of Mechanical, Electrical and Manufacturing Engineering, Loughborough University, Loughborough, U.K.",IEEE Access,"9 Oct 2023","2023","11","","108080","108091","The use of data analytics and Machine Learning (ML) branches of AI for predictive and analytic knowledge retrieval has surged significantly in various industries (e.g., health, finance, business, and manufacturing). However, the acceptance of AI has been hindered by opaque models that lack transparency. Explainability in AI (XAI) has gained significant prominence owing to its focus on introducing avenues of accountability in AI. XAI acknowledges the importance of human factors and strives to incorporate them into the design process, recognising that the cognitive effort involved in understanding explanations is a key aspect. Mental Models play a crucial role in the XAI evaluative premise, but their current utility is limited. By intentionally designing explanations that align with users’ mental models, their experiences can be significantly enhanced, leading to improved understanding, satisfaction, trust, and performance. This study proposes using Mental Models to elicit explainability requirements and to develop an Ontology-Driven Conceptual Model to facilitate the learning process for a better understanding of explanations.","2169-3536","","10.1109/ACCESS.2023.3315605","Engineering and Physical Sciences Research Council (EPSRC)(grant numbers:EP/V062042/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10251525","Conceptual model;explainability in AI;mental models;requirements elicitation","Artificial intelligence;Cognitive science;Decision making;Requirements engineering;Ontologies;Context modeling;Cognitive processes","","2","","68","CCBY","14 Sep 2023","","","IEEE","IEEE Journals"
"Building a Multilevel Inflection Handling Stemmer to Improve Search Effectiveness for Urdu Language","A. Jabbar; S. Iqbal; A. A. Alaulamie; M. Ilahi","Department of Computer Science, COMSATS University Islamabad, Main Campus, Islamabad, Pakistan; Department of Information Systems, College of Computer Science and Information Technology, King Faisal University, Hofuf, Saudi Arabia; Department of Information Systems, College of Computer Science and Information Technology, King Faisal University, Hofuf, Saudi Arabia; Department of Computer Science, COMSATS University Islamabad, Main Campus, Islamabad, Pakistan",IEEE Access,"19 Mar 2024","2024","12","","39313","39329","Stemming is an essential step in various Natural Language Processing (NLP) applications and is used to reduce different variants of the query words to a standard form to avoid the vocabulary mismatch issue in Information Retrieval (IR) systems. Due to specific grammatical rules and complex morphological structures, finding an effective stemming algorithm in Urdu is a challenging task. Although, several stemming algorithms have been proposed for the Urdu text stemming; however, none of them extract the stem from multilevel inflected forms. In this context, according to the best of our knowledge, this is a first effort towards the proposition and evaluation of a novel Urdu Text Stemmer (UTS) that can deal with multi-level inflection forms in Urdu text. The experimental evaluation of the proposed scheme has been conducted on the text-based and word-based custom-developed corpus. The proposed stemming technique is rigorously evaluated and compared with state-of-the-art stemming algorithms. Experimental results demonstrate that UTS outperforms existing Urdu stemmers and achieves an accuracy of 94.92% and 91.8% on word corpus and text corpus, respectively. We also evaluated our proposed system in an Information Retrieval application for Urdu, using the Collection for Urdu Retrieval Evaluation (CURE) dataset. Our approach for information retrieval outperformed and improved both recall and precision metrics.","2169-3536","","10.1109/ACCESS.2024.3373714","Deanship of Scientific Research, Vice Presidency for Graduate Studies and Scientific Research, King Faisal University, Saudi Arabia(grant numbers:5992); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10460562","Stemmer;information retrieval;Urdu stemmer;lemmatizer;natural language processing;text mining","Information retrieval;Natural language processing;Text mining;Vocabulary;Measurement techniques;Data models;Information analysis","","","","72","CCBYNCND","8 Mar 2024","","","IEEE","IEEE Journals"
"Transparent, Low Resource, and Context-Aware Information Retrieval From a Closed Domain Knowledge Base","S. Rateria; S. Singh","Custiv Manufacturing, Bengaluru, India; Department of Information and Communication Technology, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India",IEEE Access,"28 Mar 2024","2024","12","","44233","44243","In large-scale enterprises, vast amounts of textual information are shared across corporate repositories and intranet websites. Traditional search techniques that lack context sensitivity, often fail to retrieve pertinent data efficiently. Modern techniques that use a distributed representation of words require a considerable training dataset and computation, thereby presenting financial and operational burdens. Generative models for information search suffer from problems of transparency and hallucination, which can be detrimental, especially for organizations and their stakeholders who rely on these results for critical business operations. This paper presents a non-goal oriented conversational agent based on a collection of finite state machines and an information search model for text search from an extensive collection of stored corporate documents and intranet websites. We used a distributed representation of words derived from the BERT model, which allows for contextual searching. We minimally fine-tuned a BERT model on a multi-label text classification task specific to a closed-domain knowledge base. Based on DCG metrics, our information retrieval model using distributed embeddings from the minimally trained BERT model and Word Movers Distance for calculating topic similarity is more relevant to user queries than BERT embeddings with cosine similarity and BM25. Our architecture promises to significantly expedite and improve the accuracy of information retrieval in closed-domain systems without the need for a massive training dataset or expensive computing while maintaining transparency.","2169-3536","","10.1109/ACCESS.2024.3380006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10477429","Natural language processing;conversational agent;information retrieval;closed domain knowledge base;BERT word movers distance","Chatbots;Oral communication;Computational modeling;Information retrieval;Neural networks;Training;Data mining;Natural language processing;Knowledge based systems;Text analysis;Text categorization","","","","53","CCBYNCND","21 Mar 2024","","","IEEE","IEEE Journals"
"Consumer Document Analytical Accelerator Hardware","A. Radhakrishnan; D. Mahapatra; A. James","School of Electronic Systems and Automation, Kerala University of Digital Sciences Innovation and Technology (Digital University Kerala), Thiruvananthapuram, Kerala, India; School of Electronic Systems and Automation, Kerala University of Digital Sciences Innovation and Technology (Digital University Kerala), Thiruvananthapuram, Kerala, India; School of Electronic Systems and Automation, Kerala University of Digital Sciences Innovation and Technology (Digital University Kerala), Thiruvananthapuram, Kerala, India",IEEE Access,"20 Jan 2023","2023","11","","5161","5167","Document scanning devices are used for visual character recognition, followed by text analytics in the software. Often such character extraction is insecure, and any third party can manipulate the information. On the other hand, near-edge processing devices are restrained by limited resources and connectivity issues. The primary factors that lead to exploring independent hardware devices with natural language processing (NLP) capabilities are latency during cloud processing and computing costs. This paper introduces a hardware accelerator for information retrieval using memristive TF-IDF implementation. In this system, each sentence is represented using a memristive crossbar layer, with each column containing a single word. The number of matching scores for the TF and IDF values was implemented using operational amplifier-based comparator accumulator circuits. The circuit is designed with a 180nm CMOS process, Knowm Multi-Stable Switch memristor model, and WOx device parameters. We compared its performance with that of a standard benchmark dataset. Variability and device-to-device related issues were also taken into consideration in the analysis. This paper concludes with implementing TF-IDF score calculation for applications such as information retrieval and text summarization.","2169-3536","","10.1109/ACCESS.2023.3237463","Clootrack Pvt Ltd.; Kerala University of Digital Sciences Innovation and Technology (Digital University Kerala); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10018187","Natural language processing;TF-IDF;hardware accelerator;memristive systems;memristor;analog computation","Data mining;Information retrieval;Feature extraction;Data models;Analytical models;Memristors;Databases","","","","25","CCBYNCND","16 Jan 2023","","","IEEE","IEEE Journals"
"Graph-Based Text Representation and Matching: A Review of the State of the Art and Future Challenges","A. H. Osman; O. M. Barukub","Department of Information System, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Information System, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia",IEEE Access,"20 May 2020","2020","8","","87562","87583","Graph-based text representation is one of the important preprocessing steps in data and text mining, Natural Language Processing (NLP), and information retrieval approaches. The graph-based methods focus on how to represent text documents in the shape of a graph to exploit the best features of their characteristics. This study reviews and lists the advantages and disadvantages of such methods employed or developed in graph-based text representations. The literature shows that some of the proposed graph-based methods suffer from a lack of representing texts in certain situations. Currently, several techniques are commonly used in graph-based text representation. However, there are still some weaknesses and shortages in these techniques and tools that significantly affect the success of graph representation and graph matching. In this review, we conduct an inclusive survey of the state of the art in graph-based text representation and learning. We provide a formal description of the problem of graph-based text representation and introduce some basic concepts. More significantly, this study proposes a new taxonomy of graph-based text representation, categorizing the existing studies based on representation characteristics and scheme techniques. In terms of the representation scheme taxonomy, we introduce four main types of conceptual graph schemes and summarize the challenges faced in each scheme. The main issues of graph representation, such as research topics and the sub-taxonomy of graph models for web documents, are introduced and categorized. This research also covers some tasks of understanding natural language processing (NLP) that depend on different types of graph structures. In addition, the graph matching taxonomy implements three main categories based on the matching approach, including structural-, semantic-, and similarity-based approaches. Moreover, a deep comparison of these approaches is discussed and reported in terms of methods and tools, the concepts of matching and locality, and the application domains that use these tools. Finally, the paper recommends seven promising future study directions in the graph-based text representation field. These recommendation points are summarized and highlighted as open problems and challenges of graph-based text representation and learning to facilitate and fill the research gaps for scientific researchers in this field.","2169-3536","","10.1109/ACCESS.2020.2993191","Deanship of Scientific Research (DSR), King Abdulaziz University, Jeddah(grant numbers:DF-681-830-1441); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9088989","Graph representation;NLP;graph;graph matching;representation scheme;text mining","Natural language processing;Numerical models;Text mining;Semantics;Labeling;Tools;Taxonomy","","28","","175","CCBY","7 May 2020","","","IEEE","IEEE Journals"
"Classical Arabic Named Entity Recognition Using Variant Deep Neural Network Architectures and BERT","N. Alsaaran; M. Alrabiah","Computer Science Department, Imam Muhammad Ibn Saud Islamic University, Riyadh, Saudi Arabia; Computer Science Department, Imam Muhammad Ibn Saud Islamic University, Riyadh, Saudi Arabia",IEEE Access,"30 Jun 2021","2021","9","","91537","91547","Recurrent Neural Networks (RNNs) and transformers are deep learning models that have achieved remarkable success in several Natural Language Processing (NLP) tasks since they do not rely on handcrafted features nor enormous knowledge resources. Named Entity Recognition (NER) is an essential NLP task that is used in many applications such as information retrieval, question answering, and machine translation. NER aims to locate, extract, and classify named entities into predefined categories such as person, organization and location. Arabic NER is considered a challenging task because of the complexity and the unique characteristics of Arabic. Most of the previous research on deep learning based-Arabic NER focused on Modern Standard Arabic and Dialectal Arabic, which are different variations from Classical Arabic. In this paper, we investigate deep learning-based Classical Arabic NER using different deep neural network architectures and a BERT based contextual language model that is trained on general domain Arabic text. We propose two RNN-based models by fine-tunning the pretrained BERT language model to recognize and classify named entities from Classical Arabic. The pre-trained BERT contextual language model representations were used as input features to a BGRU/BLSTM model and were fine-tuned using a Classical Arabic NER dataset. In addition, we explore variant architectures of the proposed BERT-BGRU/BLSTM-CRF models. Experimentations showed that the BERT-BGRU-CRF model outperformed the other models by achieving an F-measure of 94.76% on the CANERCorpus. To the best of our knowledge, this is the first work that aims to recognize named entities in Classical Arabic using deep learning.","2169-3536","","10.1109/ACCESS.2021.3092261","Deanship of Scientific Research at Imam Mohammad Ibn Saud Islamic University through the Graduate Students Research Support Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9464352","NER;named entity recognition;classical arabic;BGRU;BLSTM;BERT;CRF;deep learning;natural language processing","Task analysis;Bit error rate;Deep learning;Context modeling;Natural language processing;Transfer learning;Feature extraction","","22","","70","CCBY","24 Jun 2021","","","IEEE","IEEE Journals"
"An Analytical Analysis of Text Stemming Methodologies in Information Retrieval and Natural Language Processing Systems","A. Jabbar; S. Iqbal; M. I. Tamimy; A. Rehman; S. A. Bahaj; T. Saba","Department of Computer Science, COMSATS University Islamabad (CUI), Main Campus, Tarlai Kalan, Islamabad, Pakistan; Department of Information Systems, College of Computer Science and Information Technology, King Faisal University, Al Hofuf, Saudi Arabia; Department of Computer Science, COMSATS University Islamabad (CUI), Main Campus, Tarlai Kalan, Islamabad, Pakistan; Artificial Intelligence & Data Analytics Laboratory (AIDA), CCIS, Prince Sultan University, Riyadh, Saudi Arabia; MIS Department, College of Business Administration, Prince Sattam bin Abdulaziz University, Al-Kharj, Saudi Arabia; Artificial Intelligence & Data Analytics Laboratory (AIDA), CCIS, Prince Sultan University, Riyadh, Saudi Arabia",IEEE Access,"1 Dec 2023","2023","11","","133681","133702","The exponential increase in textual unstructured digital data creates significant demand for advanced and smart stemming systems. As a preprocessing stage, stemming is applied in various research fields such as information retrieval (IR), domain vocabulary analysis, and feature reduction in many natural language processing (NLP). Text stemming (TS), an important step, can significantly improve performance in such systems. Text-stemming methods developed till now could be better in their results and can produce errors of different types leading to degraded performance of the applications in which these are used. This work presents a systematic study with an in-depth review of selected stemming works published from 1968 to 2023. The work presents a multidimensional review of studied stemming algorithms i.e., methodology, data source, performance, and evaluation methods. For this study, we have chosen different stemmers, which can be categorized as 1) linguistic knowledge-based, 2) statistical, 3) corpus-based, 4) context-sensitive, and 5) hybrid stemmers. The study shows that linguistic knowledge-based stemming techniques were widely used for highly inflected languages (such as Arabic, Hindi, and Urdu) and have reported higher accuracy than other techniques. We compare and analyze the performance of various state-of-the-art TS approaches, including their issues and challenges, which are summarized as research gaps. This work also analyzes different NLP applications utilizing stemming methods. At the end, we list the future work directions for interested researchers.","2169-3536","","10.1109/ACCESS.2023.3332710","Deanship of Scientific Research, Vice Presidency for Graduate Studies and Scientific Research, King Faisal University, Saudi Arabia(grant numbers:5428); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10318122","Text stemming;information retrieval (IR) systems;text classification;stemmer evaluation;technological development;natural language processing (NLP)","Natural language processing;Vocabulary;Information retrieval;Linguistics;Text categorization;Sentiment analysis;Tokenization","","5","","121","CCBYNCND","14 Nov 2023","","","IEEE","IEEE Journals"
"A Generative AI-Driven Method-Level Semantic Clone Detection Based on the Structural and Semantical Comparison of Methods","A. Gupta; R. Goyal","University School of Information, Communication and Technology, Guru Gobind Singh (GGS) Indraprastha University, New Delhi, India; University School of Information, Communication and Technology, Guru Gobind Singh (GGS) Indraprastha University, New Delhi, India",IEEE Access,"23 May 2024","2024","12","","70773","70791","Code fragments with identical or similar functionality are called code clones. This study aims to detect semantic clones in Java-based programs, focusing on the method-level granularity. To accomplish this, our approach extracts and compares both semantical and structural features of Java methods and applies certain heuristics to obtain the final result set. The semantics of a method are often described by its documentation, while its structural details are characterized by its implementation within the code body. However, Java methods may not always be accompanied by descriptive documentation. To address this, we have employed a Generative AI tool named ChatGPT, which has the ability to understand the given code and generate its documentation. To compare the documentation of methods, we have used various corpus-based and knowledge-based information retrieval (IR) techniques. However, for comparing a method’s structural details, we tokenized the method’s body and applied an information retrieval technique called VSM (Vector Space Modelling) on the tokenized body. Additionally, we also extracted and compared certain method-level metrics for this purpose. Further, while doing the semantical comparison of methods, eight IR variants are formed based on the internal processing requirements of different IR techniques. The technique proposed in this paper relies on the textual and metrics-based analysis of Java programs with few parsing requirements, making it lightweight and less computation-intensive. To examine the efficiency of the proposed technique, we have validated it using a semantic clone benchmark. The results show that the proposed technique detects semantic clones with high recall values ranging from 67% to 81% and precision values ranging from 60% to 96% for different IR variants explored in our research.","2169-3536","","10.1109/ACCESS.2024.3401770","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10531717","Clone detection;semantic clones;information retrieval;metrics;documentation","Cloning;Semantics;Codes;Documentation;Large scale integration;Measurement;Source coding;Information retrieval;Generative AI;Java","","","","85","CCBYNCND","16 May 2024","","","IEEE","IEEE Journals"
