Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"A case study of duplications detection for educational domain thorough ad hoc search and identification NLP-based method.","Mikhaylov, S.N.; Chuikova, V.V.; Sokolova, Marina V.; Potapenko, A.M.","Expert Systems",="02664720",,="Aug2017","34","4","n/a","11","124518582","10.1111/exsy.12200","Wiley-Blackwell","Article","NATURAL language processing; ELECTRONIC records; WEB services; COMPUTER software; Computer, computer peripheral and pre-packaged software merchant wholesalers; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers; Computer and software stores; Software publishers (except video game publishers); All Other Miscellaneous Schools and Instruction; Educational Support Services; Administration of Education Programs; Data Processing, Hosting, and Related Services; TEACHING; EDUCATION","evaluation; information resource; information retrieval; natural language processing; visual interface for knowledge representation","During the organization and planning of lecture courses for a discipline, its content may be overlapped and partially delivered in more than one course. Sometimes this action causes time loss through unnecessary repeating. This paper introduces an automated tool for duplications detections adapting methods of natural language processing used for Web search. The experiment for unstructured electronic document repositories clustering for thematic duplicate identification in different documents in the case of educational domain is presented. A prototype of this Web service-based software search engine is being designed and discussed. The experiment aimed to identify thematic duplicates of various courses within one of the teaching disciplines is also presented. [ABSTRACT FROM AUTHOR] Copyright of Expert Systems is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=124518582&site=bsi-live"
"A compressed trie structure using divided keys.","Oono, Masaki; Atlam, El-Sayed; Fuketa, Masao; Morita, Kazuhiro; Jun-ichi Aoe","International Journal of Computer Applications in Technology",="09528091",,="2009","34","2","101","7","37178004","10.1504/IJCAT.2009.023615","Inderscience Enterprises Ltd.","Article","INFORMATION retrieval; AUTOMATION; SYSTEMS engineering; SIMULATION methods & models; ARTIFICIAL intelligence; COMPUTER storage devices; Computer and peripheral equipment manufacturing; Computer Storage Device Manufacturing; MACHINE learning","data compression; dictionary; divided keys; information retrieval; natural language processing; storage capacity; trie search","A link-trie structure is an efficient data structure for collocation information using a trie structure. The link-trie stores two basic words into the trie and defines link-information by a link-function. This paper presents how to apply the link-trie into a general set of keys and compress the storage capacity. The method divides a key into several sub-keys and defines link-information between these sub-keys. From simulation results for 100,000 keys, it turns out that the presented method compresses the storage capacity by 30% smaller than the normal trie. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Computer Applications in Technology is the property of Inderscience Enterprises Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=37178004&site=bsi-live"
"A hybrid approach to Arabic named entity recognition.","Shaalan, Khaled; Oudah, Mai","Journal of Information Science",="01655515",,="Feb2014","40","1","67","21","93719428","10.1177/0165551513502417","Sage Publications, Ltd.","Article","NATURAL language processing; DATA mining; MACHINE learning; INFORMATION retrieval research; ARABIC language","hybrid approach; information extraction; information retrieval; machine learning approach; named entity recognition; natural language processing; rule-based approach","In this paper, we propose a hybrid named entity recognition (NER) approach that takes the advantages of rule-based and machine learning-based approaches in order to improve the overall system performance and overcome the knowledge elicitation bottleneck and the lack of resources for underdeveloped languages that require deep language processing, such as Arabic. The complexity of Arabic poses special challenges to researchers of Arabic NER, which is essential for both monolingual and multilingual applications. We used the hybrid approach to develop an Arabic NER system that is capable of recognizing 11 types of Arabic named entities: Person, Location, Organization, Date, Time, Price, Measurement, Percent, Phone Number, ISBN and File Name. Extensive experiments were conducted using decision trees, Support Vector Machines and logistic regression classifiers to evaluate the system performance. The empirical results indicate that the hybrid approach outperforms both the rule-based and the ML-based approaches when they are processed independently. More importantly, our system outperforms the state-of-the-art of Arabic NER in terms of accuracy when applied to ANERcorp standard dataset, with F-measures 0.94 for Person, 0.90 for Location and 0.88 for Organization. [ABSTRACT FROM PUBLISHER] Copyright of Journal of Information Science is the property of Sage Publications, Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=93719428&site=bsi-live"
"A hybrid approach to fuzzy name search incorporating language-based and text-based principles.","Paul Wu Horng-Jyh; Na Jin-Cheon; Christopher Khoo Soo-Guan","Journal of Information Science",="01655515",,="2007","33","1","3","17","25142366","10.1177/0165551506068146","Sage Publications, Ltd.","Article","INFORMATION retrieval; SEARCH engines; INTERNET searching; DIGITAL libraries; INFORMATION resources management; ELECTRONIC information resource searching; Libraries and Archives; All Other Information Services; INTERNET research; DIGITIZATION of library materials; COMPUTER network resources","fuzzy name search; hybrid system; information retrieval; language and text; natural language processing","Name Search is an important search function in various types of information retrieval systems, such as online library catalogs and electronic yellow pages. It is also difficult, because of the high degree of fuzziness required in matching name variants. Previous approaches to name search systems use ad hoc combinations of search heuristics. This paper first discusses two approaches to name modeling - the natural language processing (NLP) and information retrieval (IR) models - and proposes a hybrid approach. The approach demonstrates a critical combination of complementary NILP and IR features that produces more effective fuzzy name matching. Two principles, position-as-attribute and position-transition-likelihood, are introduced as the principles for integrating the advantageous aspects of both approaches. They have been implemented in an NLP- and JR-hybrid model system called Friendly Name Search (FNS) for real world applications in multilingual directory searches on the Singapore Yellow pages website. [ABSTRACT FROM AUTHOR] Copyright of Journal of Information Science is the property of Sage Publications, Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=25142366&site=bsi-live"
"A hybrid approach to managing job offers and candidates","Kessler, Rémy; Béchet, Nicolas; Roche, Mathieu; Torres-Moreno, Juan-Manuel; El-Bèze, Marc","Information Processing & Management",="03064573",,="Nov2012","48","6","1124","12","79562574","10.1016/j.ipm.2012.03.002","Elsevier B.V.","Article","JOB offers; EMPLOYEE recruitment; INFORMATION processing; PROBABILITY theory; MATHEMATICAL models; PERFORMANCE evaluation; Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs); Human Resources Consulting Services; HYBRID systems; INFORMATION filtering systems","Automatic summarization; Human resources; Information retrieval; Natural language processing; Similarity measures; Statistical approaches","Abstract: The evolution of the job market has resulted in traditional methods of recruitment becoming insufficient. As it is now necessary to handle volumes of information (mostly in the form of free text) that are impossible to process manually, an analysis and assisted categorization are essential to address this issue. In this paper, we present a combination of the E-Gen and Cortex systems. E-Gen aims to perform analysis and categorization of job offers together with the responses given by the candidates. E-Gen system strategy is based on vectorial and probabilistic models to solve the problem of profiling applications according to a specific job offer. Cortex is a statistical automatic summarization system. In this work, E-Gen uses Cortex as a powerful filter to eliminate irrelevant information contained in candidate answers. Our main objective is to develop a system to assist a recruitment consultant and the results obtained by the proposed combination surpass those of E-Gen in standalone mode on this task. [Copyright &y& Elsevier] Copyright of Information Processing & Management is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=79562574&site=bsi-live"
"A knowledge acquisition methodology to ontology construction for information retrieval from medical documents.","Valencia-García, Rafael; Fernández-Breis, Jesualdo Tomás; Ruiz-Martínez, Juana María; García-Sánchez, Francisco; Martínez-Béjar, Rodrigo","Expert Systems",="02664720",,="Jul2008","25","3","314","21","34185282","10.1111/j.1468-0394.2008.00464.x","Wiley-Blackwell","Article","MANAGEMENT science research; INFORMATION storage & retrieval systems; MEDICAL informatics; COMPUTERS in medicine; MEDICAL records; INFORMATION retrieval software; TEXT mining","information retrieval; natural language processing; ontologies; ontology learning; UMLS","Vast amounts of medical information reside within text documents, so that the automatic retrieval of such information would certainly be beneficial for clinical activities. The need for overcoming the bottleneck provoked by the manual construction of ontologies has generated several studies and research on obtaining semi-automatic methods to build ontologies. Most techniques for learning domain ontologies from free text have important limitations. Thus, they can extract concepts so that only taxonomies are generally produced although there are other types of semantic relations relevant in knowledge modelling. This paper presents a language-independent approach for extracting knowledge from medical natural language documents. The knowledge is represented by means of ontologies that can have multiple semantic relationships among concepts. [ABSTRACT FROM AUTHOR] Copyright of Expert Systems is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=34185282&site=bsi-live"
"A knowledge management application in enterprises.","El-Korany, Abeer","International Journal of Management & Enterprise Development",="14684330",,="2007","4","6","693","10","28842930","10.1504/IJMED.2007.014989","Inderscience Enterprises Ltd.","Abstract","KNOWLEDGE management","Al; artificial intelligence; databases; enterprise competitiveness; information systems; KM; knowledge discovery; knowledge management; knowledge retrieval; product quality","An abstract of the article ""A knowledge management application in enterprises,"" by Abeer El-Korany is presented.","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=28842930&site=bsi-live"
"A lemmatization method for Mongolian and its application to indexing for information retrieval","Khaltar, Badam-Osor; Fujii, Atsushi","Information Processing & Management",="03064573",,="Jul2009","45","4","438","14","40117412","10.1016/j.ipm.2009.01.008","Elsevier B.V.","Article","INFORMATION retrieval; Book, periodical and newspaper merchant wholesalers; MONGOLIAN language; CYRILLIC alphabet; COGNITIVE processing of language; ENCYCLOPEDIAS & dictionaries; SUFFIXES & prefixes (Grammar); ALPHABET","Information retrieval; Lemmatization; Mongolian language; Natural language processing","In Mongolian, two different alphabets are used, Cyrillic and Mongolian. In this paper, we focus solely on the Mongolian language using the Cyrillic alphabet, in which a content word can be inflected when concatenated with one or more suffixes. Identifying the original form of content words is crucial for natural language processing and information retrieval. We propose a lemmatization method for Mongolian. The advantage of our lemmatization method is that it does not rely on noun dictionaries, enabling us to lemmatize out-of-dictionary words. We also apply our method to indexing for information retrieval. We use newspaper articles and technical abstracts in experiments that show the effectiveness of our method. Our research is the first significant exploration of the effectiveness of lemmatization for information retrieval in Mongolian. [Copyright &y& Elsevier] Copyright of Information Processing & Management is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=40117412&site=bsi-live"
"A Novel classification framework for the Thirukkural for building an efficient search system.","Ramalingam, Anita; Navaneethakrishnan, Subalalitha Chinnaudayar","Journal of Intelligent & Fuzzy Systems",="10641246",,="2022","42","3","2397","12","156139289","10.3233/JIFS-211667","IOS Press","Article","INFORMATION retrieval; RANDOM forest algorithms; SUPPORT vector machines; NAIVE Bayes classification; KEYWORD searching","information retrieval; morphological analysis; multinomial naive bayes classifier; Natural language processing; text classification; the Thirukkural","Thirukkural, a Tamil classic literature, which was written in 300 BCE is a didactic literature. Though Thirukkural comprises 1330 couplets which are organized into three sections and 133 chapters, in order to retrieve meaningful Thirukkural for a given query in search systems, a better organization of the Thirukkural is needed. This paper lays such a foundation by classifying the Thirukkural into ten new categories called superclasses that is helpful for building a better Information Retrieval (IR) system. The classifier is trained using Multinomial Naïve Bayes algorithm. Each superclass is further classified into two subcategories based on the didactic information. The proposed classification framework is evaluated using precision, recall and F-score metrics and achieved an overall F-score of 82.33% and a comparison analysis has been done with the Support Vector Machine, Logistic Regression and Random Forest algorithms. An IR system is built on top of the proposed system and the performance comparison has been done with the Google search and a locally built keyword search. The proposed classification framework has achieved a mean average precision score of 89%, whereas the Google search and keyword search have yielded 59% and 68% respectively. [ABSTRACT FROM AUTHOR] Copyright of Journal of Intelligent & Fuzzy Systems is the property of IOS Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=156139289&site=bsi-live"
"A novel method for providing relational databases with rich semantics and natural language processing.","Hamaz, Kamal; Benchikha, Fouzia","Journal of Enterprise Information Management",="17410398",,="2017","30","3","503","23","122548771","10.1108/JEIM-01-2015-0005","Emerald Publishing Limited","Article","NATURAL language processing; RELATIONAL databases; SEMANTICS","Enrichment; Information retrieval; Natural language processing; Ontologies; Relational databases; Reverse engineering","Purpose With the development of systems and applications, the number of users interacting with databases has increased considerably. The relational database model is still considered as the most used model for data storage and manipulation. However, it does not offer any semantic support for the stored data which can facilitate data access for the users. Indeed, a large number of users are intimidated when retrieving data because they are non-technical or have little technical knowledge. To overcome this problem, researchers are continuously developing new techniques for Natural Language Interfaces to Databases (NLIDB). Nowadays, the usage of existing NLIDBs is not widespread due to their deficiencies in understanding natural language (NL) queries. In this sense, the purpose of this paper is to propose a novel method for an intelligent understanding of NL queries using semantically enriched database sources.Design/methodology/approach First a reverse engineering process is applied to extract relational database hidden semantics. In the second step, the extracted semantics are enriched further using a domain ontology. After this, all semantics are stored in the same relational database. The phase of processing NL queries uses the stored semantics to generate a semantic tree.Findings The evaluation part of the work shows the advantages of using a semantically enriched database source to understand NL queries. Additionally, enriching a relational database has given more flexibility to understand contextual and synonymous words that may be used in a NL query.Originality/value Existing NLIDBs are not yet a standard option for interfacing a relational database due to their lack for understanding NL queries. Indeed, the techniques used in the literature have their limits. This paper handles those limits by identifying the NL elements by their semantic nature in order to generate a semantic tree. This last is a key solution towards an intelligent understanding of NL queries to relational databases. [ABSTRACT FROM AUTHOR] Copyright of Journal of Enterprise Information Management is the property of Emerald Publishing Limited and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=buh&AN=122548771&site=bsi-live"
