Review_Stage;Database;Title;Author;Year;DOI;DOI_Link;Abstract
NOT_RELEVANT;IEEE Xplore;The NLP Cookbook: Modern Recipes for Transformer Based Deep Learning Architectures;Singh, Sushant and Mahmood, Ausif;2021;10.1109/ACCESS.2021.3077350;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;SIFRank: A New Baseline for Unsupervised Keyphrase Extraction Based on Pre-Trained Language Model;Sun, Yi and Qiu, Hangping and Zheng, Yu and Wang, Zhongwei and Zhang, Chaoran;2020;10.1109/ACCESS.2020.2965087;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;ChatTf: A Knowledge Graph-Enhanced Intelligent Q&A System for Mitigating Factuality Hallucinations in Traditional Folklore;Xu, Jun and Zhang, Hao and Zhang, Haijing and Lu, Jiawei and Xiao, Gang;2024;10.1109/ACCESS.2024.3485877;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Summarization of Text and Image Captioning in Information Retrieval Using Deep Learning Techniques;Mahalakshmi, P. and Fatima, N. Sabiyath;2022;10.1109/ACCESS.2022.3150414;NOT_FOUND;Automated information retrieval and text summarization concept is a difficult process in natural language processing because of the infrequent structure and high complexity of the documents. The text summarization process creates a summary by paraphrasing a long text. Earlier models on information retrieval and summarization are based on a massive labeled dataset by the use of handcrafted features, leveraging on knowledge for a particular domain, and concentrated on the narrow sub-domain to improve efficiency. This paper presents a new deep learning (DL) based information retrieval with a text summarization model. The proposed model involves three major processes namely information retrieval, template generation, and text summarization. Initially, the bidirectional long short term memory (BiLSTM) approach is employed for retrieving the textual data, which assumes each word in a sentence, extracts the information, and embeds it into the semantic vector. Next, the template generation process takes place using the DL model. The deep belief network (DBN) model is employed as a text summarization tool to summarize the textual content. In addition, the image description is generated for the visualized entities that exist in the images. The design of BiLSTM with the DBN model for the text summarization and image captioning process shows the novelty of the work. The performance of the presented method is validated using Giga word corpus and DUC corpus. The experimental results referred that the proposed DBN model outperformed the compared methods with the maximum precision, recall and F-score. The image captions are compared with a predefined set of captions that exists for the image and the performance is evaluated using the BLEU metric.
NOT_RELEVANT;IEEE Xplore;Generation of Asset Administration Shell With Large Language Model Agents: Toward Semantic Interoperability in Digital Twins in the Context of Industry 4.0;Xia, Yuchen and Xiao, Zhewen and Jazdi, Nasser and Weyrich, Michael;2024;10.1109/ACCESS.2024.3415470;NOT_FOUND;NOT_FOUND
MAYBE_RELEVANT;IEEE Xplore;UniRaG: Unification, Retrieval, and Generation for Multimodal Question Answering With Pre-Trained Language Models;Zhi Lim, Qi and Poo Lee, Chin and Ming Lim, Kian and Kamsani Samingan, Ahmad;2024;10.1109/ACCESS.2024.3403101;NOT_FOUND;NOT_FOUND
MAYBE_RELEVANT;IEEE Xplore;LegalReasoner: A Multi-Stage Framework for Legal Judgment Prediction via Large Language Models and Knowledge Integration;Wang, Xuran and Zhang, Xinguang and Hoo, Vanessa and Shao, Zhouhang and Zhang, Xuguang;2024;10.1109/ACCESS.2024.3496666;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;DAKRS: Domain Adaptive Knowledge-Based Retrieval System for Natural Language-Based Vehicle Retrieval;Ha, Synh Viet-Uyen and Le, Huy Dinh-Anh and Nguyen, Quang Qui-Vinh and Chung, Nhat Minh;2023;10.1109/ACCESS.2023.3260149;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Large Language Models for Clinical Text Cleansing Enhance Medical Concept Normalization;Abdulnazar, Akhila and Roller, Roland and Schulz, Stefan and Kreuzthaler, Markus;2024;10.1109/ACCESS.2024.3472500;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Building a Multilevel Inflection Handling Stemmer to Improve Search Effectiveness for Urdu Language;Jabbar, Abdul and Iqbal, Sajid and Alaulamie, Abdullah Abdulrhman and Ilahi, Manzoor;2024;10.1109/ACCESS.2024.3373714;NOT_FOUND;NOT_FOUND
